date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-08-14,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,91.95,73.22,98.15,25.58,-6.32,2.31,36.2,73300033536.0,2026-08-17T09:11:35.411884+00:00
2026-08-14,HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,24.54,19.47,27.89,26.06,-12.0,4.77,28.87,,2026-08-17T09:11:46.731000+00:00
2026-08-14,MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,189.13,149.32,207.14,26.66,-8.69,1.14,23.52,7296311808.0,2026-08-17T09:11:34.808838+00:00
2026-08-14,CBSH,"Commerce Bancshares, Inc.",Financial Services,Banks - Regional,60.27,46.74,60.92,28.94,-1.07,1.82,14.77,8644657152.0,2026-08-17T09:11:42.021571+00:00
2026-08-14,FUL,H. B. Fuller Company,Basic Materials,Specialty Chemicals,62.75,48.3,68.05,29.92,-7.79,1.56,18.62,3375160064.0,2026-08-17T09:11:20.163761+00:00
2026-08-14,AWR,American States Water Company,Utilities,Utilities - Regulated Water,88.97,68.05,90.11,30.74,-1.27,2.45,24.31,3526381568.0,2026-08-17T09:11:24.092466+00:00
2026-08-14,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,207.07,157.78,236.42,31.24,-12.41,1.01,25.07,27888234496.0,2026-08-17T09:11:38.513621+00:00
2026-08-14,BKH,Black Hills Corporation,Utilities,Utilities - Regulated Gas,74.29,56.42,77.95,31.68,-4.69,3.8,18.71,5664846336.0,2026-08-17T09:11:29.226003+00:00
2026-08-14,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,249.46,189.4,267.47,31.71,-6.73,2.77,70.47,440825085952.0,2026-08-17T09:11:23.371386+00:00
2026-08-14,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,48.13,36.44,49.8,32.06,-3.35,2.41,18.51,2819500032.0,2026-08-17T09:11:43.195955+00:00
2026-08-14,NWN,Northwest Natural Holding Compa,Utilities,Utilities - Regulated Gas,50.86,38.39,54.92,32.47,-7.4,3.87,17.01,2140877312.0,2026-08-17T09:11:22.116983+00:00
2026-08-14,EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,163.17,121.73,165.79,34.04,-1.58,1.36,35.7,91016224768.0,2026-08-17T09:11:21.340483+00:00
2026-08-14,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,118.39,87.27,128.21,35.66,-7.66,3.92,23.92,10349456384.0,2026-08-17T09:11:47.883742+00:00
2026-08-14,MSEX,Middlesex Water Company,Utilities,Utilities - Regulated Water,58.73,43.28,60.93,35.7,-3.61,2.45,22.68,1106704896.0,2026-08-17T09:11:30.414384+00:00
2026-08-14,ABT,Abbott Laboratories,Healthcare,Medical Devices,111.25,81.39,134.38,36.69,-17.21,2.27,36.0,192505151488.0,2026-08-17T09:11:20.733463+00:00
2026-08-14,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,87.71,64.04,90.92,36.97,-3.53,2.42,26.34,377376571392.0,2026-08-17T09:11:33.589707+00:00
